gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.10799	22395	562	10	19462	1160	534	16745	337	12
MSTRG.108	235	2539	1481	221	850	1596	261	2742	1353
MSTRG.1080	31993	2279	5607	21563	3563	4263	9134	2630	5696
MSTRG.10800	18505	1254	33	14996	249	24	12793	1189	1
MSTRG.10801	399	1792	86	1	775	131	1	2201	26
MSTRG.10802	416	0	27	0	1	21	1	0	1
MSTRG.10803	255	1513	0	103	1292	0	240	1187	0
MSTRG.10804	97	865	700	32	1029	439	26	574	4516
MSTRG.10805	19	2	3291	163	3	2089	14	5	22061
MSTRG.10806	6326	609	116	8999	545	270	5726	513	29
MSTRG.10807	19	96	126	35	136	185	5	176	687
MSTRG.10808	10	1349	0	127	1775	44	0	1219	0
MSTRG.10809	115	34	2585	82	142	1803	198	65	17877
MSTRG.1081	202	199	3	231	275	11	139	310	96
MSTRG.10810	0	65267	6313	18	6094	22435	0	40024	4057
MSTRG.10811	19	1610	1204	17	1069	1538	24	1494	1128
MSTRG.10812	17	162	617	146	206	438	4	32	1355
MSTRG.10813	29	83	27	1	137	23	5	38	28
MSTRG.10814	103	290	26	69	24	28	79	0	191
MSTRG.10815	256	1406	21	143	1549	3	335	1055	12
MSTRG.10816	24	601	10	168	291	86	147	225	5
MSTRG.10817	6	145	878	43	33	604	61	84	4889
MSTRG.10818	45	1392	49	47	1504	33	71	1645	471
MSTRG.10819	27	2388	147	14	5011	197	0	2365	977
MSTRG.1082	2197	1	1369	4789	0	1289	1608	3	1171
MSTRG.10820	283	241	659	34	17163	372	66	228	152
